title,genres,tags,1_star_votes,2_star_votes,3_star_votes,4_star_votes,5_star_votes,overall_rates
Lin Xinyan Zong,"['Mature', 'Drama', 'Adult', 'Action', 'Martial Arts', 'Slice of Life', 'Fantasy', 'Romance']","['Adapted to Drama CD', 'Adapted to Manhua', 'Early Romance', 'Fantasy World', 'Female Protagonist', 'Modern Day', 'Pregnancy']",7,2,1,0,1,1.7
I Miss You,"['School Life', 'Comedy', 'Josei', 'Romance']","['Acting', 'Beautiful Female Lead', 'Clever Protagonist', 'College/University', 'Devoted Love Interests', 'Female Protagonist', 'First Love', 'Handsome Male Lead', 'Modern Day', 'Persistent Love Interests']",0,2,2,12,15,4.3
Cat King System,"['Romance', 'Yaoi']","['Animal Characteristics', 'Animal Rearing', 'Appearance Changes', 'Cute Story', 'Modern Day', 'Non-humanoid Protagonist', 'Pets', 'Shapeshifters', 'Transformation Ability', 'Transmigration', 'World Hopping']",2,2,3,3,8,3.7
Scoring the Sacred Body of the Ancients from the Get-go,"['Action', 'Adventure', 'Harem', 'Xianxia']","['Accelerated Growth', 'Antihero Protagonist', 'Appearance Different from Actual Age', 'Beautiful Female Lead', 'Body Tempering', 'Calm Protagonist', 'Carefree Protagonist', 'Charming Protagonist', 'Confident Protagonist', 'Cultivation', 'Cunning Protagonist', 'Doting Parents', 'Enemies Become Allies', 'Evil Protagonist', 'Famous Parents', 'Famous Protagonist', 'Fast Cultivation', 'Handsome Male Lead', 'Immortals', 'Loli', 'Loyal Subordinates', 'Lucky Protagonist', 'Male Protagonist', 'Multiple Realms', 'Overpowered Protagonist', 'Protagonist with Multiple Bodies', 'Romantic Subplot', 'Saving the World', 'Schemes And Conspiracies', 'Sharp-tongued Characters', 'Strength-based Social Hierarchy', 'Strong Love Interests', 'Strong to Stronger', 'System Administrator', 'Transmigration', 'Underestimated Protagonist', 'Wars', 'Wealthy Characters', 'World Travel']",11,4,1,1,7,2.5
My Man’s Reputation Is Ruined Again,['Fantasy'],[''],2,1,0,0,1,2.3
Immortal Soaring Blade,"['Action', 'Adventure', 'Harem', 'Xianxia']","['Body Tempering', 'Cultivation', 'Death of Loved Ones', 'Dense Protagonist', 'Hard-Working Protagonist', 'Male Protagonist', 'Sword Wielder']",2,9,5,5,11,3.4
One Useless Rebirth,"['Comedy', 'Drama', 'Romance', 'Yaoi']","['Acting', 'Age Regression', 'Betrayal', 'Bickering Couple', 'Black Belly', 'Celebrities', 'Coma', 'Complex Family Relationships', 'Couple Growth', 'Doting Love Interests', 'Family Conflict', 'Famous Protagonist', 'Fated Lovers', 'First Love', 'First-time Interc**rse', 'Friendship', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Heartwarming', 'Love Interest Falls in Love First', 'Modern Day', 'Past Plays a Big Role', 'Photography', 'Poor to Rich', 'Popular Love Interests', 'Quirky Characters', 'Reincarnation', 'Revenge', 'Schemes And Conspiracies', 'Second Chance', 'Showbiz', 'Slow Romance']",39,33,46,97,466,4.3
Wan Jie Sa Hua,"['Adventure', 'Josei', 'Supernatural']","['Apocalypse', 'Familial Love', 'Fast Cultivation', 'Female Protagonist', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Love at First Sight', 'Love Interest Falls in Love First', 'Magical Space', 'Power Couple', 'Second Chance', 'Transmigration', 'Zombies']",2,1,4,3,4,3.4
Crashing into Daylight,"['Supernatural', 'Action', 'Shounen Ai', 'Fantasy', 'Romance']","['Bloodlines', 'Broken Engagement', 'Demons', 'Flashbacks', 'Love Interest Falls in Love First', 'Lovers Reunited', 'Magic', 'Misunderstandings', 'Older Love Interests', 'Power Couple', 'Schemes And Conspiracies']",1,4,2,4,15,4.1
Green Plum Island,"['Yaoi', 'Slice of Life', 'Fantasy', 'Romance']","['Adapted to Drama CD', 'Adapted to Manhua', 'Cold Love Interests', 'Comedic Undertone', 'Complex Family Relationships', 'Cross-dressing', 'Cute Children', 'Cute Protagonist', 'Cute Story', 'Death of Loved Ones', 'Disabilities', 'Doting Love Interests', 'Familial Love', 'Family', 'First Love', 'First-time Interc**rse', 'Handsome Male Lead', 'Hidden Abilities', 'Love at First Sight', 'Modern Day', 'Near-Death Experience', 'Older Love Interests', 'Popular Love Interests', 'Proactive Protagonist', 'Protagonist Falls in Love First', ' ""Seeing Things Other Humans Can\'t"",Slow Romance', 'Special Abilities', 'Unrequited Love']",5,16,27,64,443,4.7
Emperor,"['Shounen Ai', 'Yaoi']",[''],1,1,2,0,2,3.2
Grocery Store No.514,"['Supernatural', 'Comedy', 'Shounen Ai', 'Horror', 'Fantasy']","['Blind Protagonist', 'Disabilities', 'Ghosts', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Investigations', 'Loyal Subordinates', 'Manly Gay Couple', 'Misunderstandings', 'Modern Day', 'Multiple POV', 'Murders', 'Mystery Solving', 'Police', 'Protagonist Strong from the Start', ' ""Seeing Things Other Humans Can\'t"",Seme Protagonist', 'Special Abilities', 'Store Owner', 'Underestimated Protagonist']",3,5,9,11,42,4.2
Our Glamorous Time,"['Comedy', 'Josei', 'Romance', 'Shoujo']","['Adapted to Drama', 'Beautiful Female Lead', 'Boss-Subordinate Relationship', 'Business Management', 'Clever Protagonist', 'Doting Older Siblings', 'Female Protagonist', 'Handsome Male Lead', 'Military', 'Modern Day', 'Power Couple', 'Schemes And Conspiracies', 'Slow Romance', 'Smart Couple']",6,3,16,28,96,4.4
Enchantress Amongst Alchemists: Ghost King’s Wife,"['Action', 'Adventure', 'Drama', 'Romance', 'Xuanhuan']","['Academy', 'Alchemy', 'Artifacts', 'Beast Companions', 'Beautiful Female Lead', 'Broken Engagement', 'Cultivation', 'Devoted Love Interests', 'Doctors', 'Doting Love Interests', 'Doting Parents', 'Female Protagonist', 'Genius Protagonist', 'Gods', 'Handsome Male Lead', 'Hiding True Abilities', 'Love Interest Falls in Love First', 'Magical Space', 'Marriage', 'Multiple Realms', 'Multiple Reincarnated Individuals', 'Mysterious Family Background', 'Past Plays a Big Role', 'Politics', 'Possessive Characters', 'Pregnancy', 'Revenge', 'Strong Love Interests', 'Time Skip', 'Transmigration', 'Transported to Another World', 'Underestimated Protagonist', 'Weak to Strong']",58,69,75,69,251,3.7
Nuclear Dragon,"['Mystery', 'Drama', 'Adventure', 'Comedy', 'Action', 'Slice of Life', 'Fantasy']","['Black Belly', 'Card Games', 'Dragons', 'Gods', 'Kingdom Building', 'Kingdoms', 'Male Protagonist', 'Mutations', 'Overpowered Protagonist', 'Personality Changes', 'Reincarnated as a Monster', 'Reincarnated in Another World', 'Siblings', 'Transformation Ability', 'World Hopping']",2,9,5,5,18,3.7
Evil Doctor Princess,"['Comedy', 'Drama', 'Josei', 'Romance']","['Ancient China', 'Artificial Intelligence', 'Female Protagonist', 'Medical Knowledge']",4,1,0,1,3,2.8
Hokage: Ryo’s Path,"['Drama', 'Adventure', 'Action', 'Martial Arts', 'Fantasy']","['Academy', 'Age Progression', 'Beast Companions', 'Bloodlines', 'Cheats', 'Determined Protagonist', 'Eye Powers', 'Fanfiction', 'Fast Learner', 'Genius Protagonist', 'Male Protagonist', 'Marriage', 'Mature Protagonist', 'Medical Knowledge', 'Military', 'Ninjas', 'Overpowered Protagonist', 'Parody', 'Power Couple', 'Reincarnated in Another World', 'Reincarnation', 'Romantic Subplot', 'Ruthless Protagonist', 'Wars', 'Weak to Strong']",76,24,20,22,112,3.3
The Man Who Gave The Protagonist a Halo,"['Adventure', 'Comedy', 'Fantasy', 'Romance', 'Sci-fi', 'Tragedy', 'Yaoi']","['Ancient Times', 'Cross-dressing', 'Love Interest Falls in Love First', 'Misunderstandings', 'Modern Day', 'Multiple Realms', 'System Administrator', 'World Hopping']",2,3,7,4,11,3.7
Hua Xu Yin,"['Drama', 'Romance', 'Supernatural', 'Tragedy']","['Adapted to Drama', 'Ancient China', 'Appearance Changes', 'Dreams', 'Female Protagonist', 'Second Chance']",9,2,2,4,39,4.1
Counterattack of the Cannon Fodder Chambermaid,"['Mature', 'Drama', 'Historical', 'Slice of Life', 'Fantasy', 'Romance']","['Ancient China', 'Beautiful Female Lead', 'Calm Protagonist', 'Childcare', 'Couple Growth', 'Different Social Status', 'Doting Love Interests', 'Female Protagonist', 'F*llatio', 'Handsome Male Lead', 'Imperial Harem', 'Love Interest Falls in Love First', 'Misunderstandings', 'Multiple Reincarnated Individuals', 'Older Love Interests', 'Politics', 'Power Couple', 'Pregnancy', 'R*pe Victim Becomes Lover', 'Reincarnation', 'Royalty', 'R*pe', 'Second Chance', 'S*ave Protagonist', 'Slow Romance', 'Twins', 'Weak Protagonist']",21,14,30,60,216,4.3
Rebirth of the Famous Wife: Li Shao and the Thief,"['School Life', 'Drama', 'Romance', 'Josei']","['Arranged Marriage', 'Beautiful Female Lead', 'Betrayal', 'Black Belly', 'Cold Love Interests', 'College/University', 'Couple Growth', 'Devoted Love Interests', 'Enemies Become Lovers', 'Female Protagonist', 'First Love', 'Friends Become Enemies', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Marriage', 'Modern Day', 'Past Plays a Big Role', 'Personality Changes', 'Possessive Characters', 'Power Couple', 'Reincarnation', 'Revenge', 'Ruthless Protagonist', 'Schemes And Conspiracies', 'Second Chance', 'Sharp-tongued Characters', 'Slow Romance', 'Strong Love Interests', 'Wealthy Characters']",5,0,5,5,6,3.3
The Great Sorcerer,"['Yaoi', 'Xianxia', 'Action', 'Historical', 'Tragedy', 'Shounen Ai', 'Fantasy', 'Romance']","['Absent Parents', 'Beast Companions', 'Clever Protagonist', 'Dark', 'Fantasy Creatures', 'Fantasy World', 'Gods', 'Handsome Male Lead', 'Human-Nonhuman Relationship', 'Loner Protagonist', 'Magic', 'Master-Servant Relationship', 'Mythical Beasts', 'Mythology', 'Reincarnation', 'Summoning Magic', 'Zombies']",3,0,1,2,6,3.7
There’s No Such Thing as Love in a Swordsman’s Heart,"['Shounen Ai', 'Wuxia', 'Martial Arts', 'Comedy']","['Calm Protagonist', 'Clever Protagonist', 'Cold Protagonist', 'Dense Protagonist', 'Devoted Love Interests', 'Famous Protagonist', 'Love Interest Falls in Love First', 'Manly Gay Couple', 'Misunderstandings', 'Power Couple', 'Protagonist Strong from the Start', 'Straight Seme', 'Straight Uke', 'Strong Love Interests', 'Sword Wielder', 'Transmigration']",3,1,1,0,18,4.3
Wolves’ Den,"['Action', 'Adult', 'Harem', 'Josei', 'Mystery', 'Psychological', 'Romance', 'Smut']","['An*l', 'Abusive Characters', 'BDSM', 'Beautiful Female Lead', 'Confinement', 'Dark', 'Doting Love Interests', 'Female Protagonist', 'First-time Interc**rse', 'Gangs', 'Handsome Male Lead', 'Incest', 'Kidnappings', 'Love Interest Falls in Love First', 'Male Yandere', 'Mind Break', 'Mysterious Family Background', 'Mysterious Past', 'Mystery Solving', 'Polyandry', 'Possessive Characters', 'Prison', 'R*pe Victim Becomes Lover', 'Reverse Harem', 'Reverse R*pe', 'R*pe', 'Sadistic Characters', 'S*x S*aves', 'Stockholm Syndrome', 'Strong Love Interests', 'Threesome', 'Torture', 'Weak Protagonist', 'Wealthy Characters', 'Yandere']",21,3,9,9,57,3.8
My Omega Superior Has a Tail,"['Action', 'Fantasy', 'Mecha', 'Mystery', 'Romance', 'Supernatural', 'Yaoi']","['Adopted Children', 'Animal Characteristics', 'Beastkin', 'Bickering Couple', 'Clingy Lover', 'Death of Loved Ones', 'Enemies Become Lovers', 'Familial Love', 'Family', 'Family Business', 'First-time Interc**rse', 'Generals', 'Love Interest Falls in Love First', 'Male Yandere', 'Military', 'Mpreg', 'Near-Death Experience', 'Non-humanoid Protagonist', 'Omegaverse', 'Organized Crime', 'Orphans', 'Pirates', 'Power Couple', 'Protagonist Strong from the Start', 'Secret Crush', 'Secret Identity', 'Secret Organizations', 'Secretive Protagonist', 'Stalkers', 'Strong Love Interests', 'Transformation Ability', 'Wealthy Characters']",3,3,7,16,24,4.0
I Have A Virtual Universe,"['School Life', 'Mystery', 'Sci-fi', 'Adventure', 'Action', 'Fantasy']","['Cautious Protagonist', 'Fast Learner', 'Futuristic Setting', 'Gods']",0,0,1,1,0,3.5
Little Wife,"['Adult', 'Mature', 'Romance', 'Smut', 'Yaoi']","['Cohabitation', 'Cute Protagonist', 'Doting Love Interests', 'First-time Interc**rse', 'Futanari', 'Handsome Male Lead', 'Modern Day', 'Protagonist Falls in Love First']",6,3,5,7,20,3.8
My Savior Identity Got Exposed Because Of My Savings,"['Xuanhuan', 'Sci-fi', 'Drama', 'Adventure', 'Comedy', 'Mecha', 'Slice of Life', 'Romance']","['Male Protagonist', 'Reincarnation']",24,4,4,2,9,2.3
Inters*x Student and Biology Teacher,"['Gender Bender', 'Smut', 'Yaoi', 'Adult']","['An*l', 'Brainwashing', 'Child Abuse', 'Childish Protagonist', 'C*nnilingus', 'Cold Love Interests', 'Complex Family Relationships', 'Early Romance', 'Exhibitionism', 'First-time Interc**rse', 'F*llatio', 'Futanari', 'Manipulative Characters', 'Naive Protagonist', 'Older Love Interests', 'Reluctant Protagonist', 'R*pe', 'Student-Teacher Relationship', 'Timid Protagonist']",11,13,17,17,24,3.4
Gaze at the Scenes of Debauchery,"['Drama', 'Mature', 'Tragedy', 'Yaoi']","['Adapted to Drama CD', 'Adultery', 'Arrogant Characters', 'Betrayal', 'Business Management', 'Calm Protagonist', 'Caring Protagonist', 'Death', 'Depression', 'Emotionally Weak Protagonist', 'First Love', 'Flashbacks', 'Hospital', 'Loneliness', 'Modern Day', 'Obsessive Love', 'Older Love Interests', 'Possessive Characters', 'Selfless Protagonist', 'Suicides', 'Unconditional Love', 'Unrequited Love', 'Wealthy Characters']",11,9,22,50,178,4.4
The Marshals Want to Get Divorced,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Sci-fi', 'Supernatural', 'Yaoi']","['Acting', 'Adapted to Manhua', 'Aliens', 'Celebrities', 'Clever Protagonist', 'Clones', 'Couple Growth', 'Demonic Cultivation Technique', 'Devoted Love Interests', 'Doctors', 'Dreams', 'Fallen Angels', 'Futuristic Setting', 'Genius Protagonist', 'Handsome Male Lead', 'Jealousy', 'Male Yandere', 'Misunderstandings', 'Modern Day', 'Multiple Identities', 'Multiple Personalities', 'Multiple Realms', 'Mysterious Illness', 'Mysterious Past', 'Non-linear Storytelling', 'Overpowered Protagonist', 'Past Plays a Big Role', 'Past Trauma', 'Persistent Love Interests', 'Possessive Characters', 'Power Couple', 'Tragic Past', 'Transmigration', 'Unconditional Love', 'Vampires', 'Virtual Reality', 'World Hopping', 'Younger Love Interests']",10,3,11,20,116,4.4
The Transmigrator’s Cultivation,"['Adult', 'Yaoi', 'Xianxia', 'Adventure', 'Action', 'Martial Arts', 'Romance']","['Ancient Times', 'Beast Companions', 'Calm Protagonist', 'Caring Protagonist', 'Cold Love Interests', 'Couple Growth', 'Cultivation', 'Dao Companion', 'Dao Comprehension', 'Daoism', 'Destiny', 'Heavenly Tribulation', 'Herbalist', 'Immortals', 'Marriage', 'Mature Protagonist', 'Pets', 'Politics', 'Protagonist Falls in Love First', 'Reincarnated in Another World', 'Resurrection', 'Saving the World', 'S*xual Cultivation Technique', 'Slow Romance', 'Strength-based Social Hierarchy', 'Strong Love Interests', 'Sword Wielder', 'Weak to Strong']",2,1,4,2,24,4.4
Since The Red Moon Appeared,"['Horror', 'Psychological', 'Sci-fi', 'Supernatural']","['Adapted to Anime', 'Adapted to Manhua', 'Alternate World', 'Crime', 'Dark', 'Familial Love', 'Firearms', 'Futuristic Setting', 'Gore', 'Lack of Common Sense', 'Male Protagonist', 'Misunderstandings', 'Money Grubber', 'Monsters', 'Mutations', 'Mysterious Past', 'Naive Protagonist', 'Orphans', 'Past Plays a Big Role', 'Post-apocalyptic', 'Protagonist Strong from the Start', 'Psychic Powers', 'Psychopaths', 'Sealed Power', 'Secret Organizations', ' ""Seeing Things Other Humans Can\'t"",Special Abilities']",1,0,1,4,33,4.7
I Don’t Want This White Moonlight Anymore!,"['School Life', 'Romance']","['Beautiful Female Lead', 'Devoted Love Interests', 'Female Protagonist', 'Love Interest Falls in Love First', 'Misunderstandings', 'Past Plays a Big Role', 'Reincarnation', 'Second Chance']",8,5,9,7,21,3.6
The Emperor is Always Unhappy,"['Shounen Ai', 'Comedy', 'Historical']","['Childish Protagonist', 'Cute Protagonist', 'Doting Love Interests', 'Generals', 'Handsome Male Lead', 'Love at First Sight', 'Love Interest Falls in Love First', 'Marriage', 'Older Love Interests', 'Royalty', 'Short Story', 'Strong Love Interests', 'Tsundere']",2,4,5,15,45,4.4
Welcome to the Nightmare Game II,"['Action', 'Shounen Ai', 'Horror', 'Fantasy', 'Romance']","['Alternate World', 'Conditional Power', 'Cunning Protagonist', 'Death', 'Death of Loved Ones', 'Demon Lord', 'Demons', 'Depictions of Cruelty', 'Devoted Love Interests', 'Doting Love Interests', 'Game Elements', 'Harsh Training', 'Kind Love Interests', 'Lovers Reunited', 'Power Couple', 'Religions', 'Resurrection', 'Sealed Power', 'Shoujo-Ai Subplot', 'Slow Romance', 'Special Abilities', 'Stoic Characters', 'Strong Love Interests', 'Survival Game', 'Thriller', 'Transformation Ability', 'Transmigration', 'Transported into a Game World', 'Unlimited Flow', 'Unlucky Protagonist', 'Younger Love Interests']",5,6,4,8,33,4.0
Driver of The Beautiful CEO,"['Action', 'Drama', 'Harem', 'Romance']","['Arranged Marriage', 'Average-looking Protagonist', 'Beautiful Female Lead', 'Betrayal', 'Business Management', 'Calm Protagonist', 'Contracts', 'Different Social Status', 'Family', 'Famous Protagonist', 'Hard-Working Protagonist', 'Lazy Protagonist', 'Male Protagonist', 'Marriage of Convenience', 'Modern Day', 'Mysterious Past', 'Overpowered Protagonist', 'Past Trauma', 'Ruthless Protagonist', 'Shameless Protagonist', 'Tragic Past', 'Wealthy Characters']",5,3,6,3,28,4.0
The Last Apostle,"['Action', 'Adventure', 'Fantasy']","['Fantasy World', 'Game Elements', 'Magic', 'Male Protagonist', 'Romantic Subplot', 'S*aves', 'Summoning Magic']",11,0,1,2,24,3.7
The Rebirth of the Violent Concubine: The Bright Moon Shields the West Building,"['Comedy', 'Historical', 'Romance']","['Ancient China', 'Female Protagonist', 'Second Chance']",1,1,1,2,5,3.9
The Marquis Is Innocent,"['Mature', 'Drama', 'Adult', 'Historical', 'Slice of Life', 'Romance']","['Adapted to Drama', 'Ancient China', 'Beautiful Female Lead', 'Second Chance', 'Transmigration']",1,2,0,3,7,4.0
"The Enchantress of Medicine, with the Heaven Defying Child, and the Black Belly Father","['Action', 'Comedy', 'Mature', 'Romance', 'Xuanhuan']","['Absent Parents', 'Alchemy', 'Ancient Times', 'Arrogant Characters', 'Beast Companions', 'Beautiful Female Lead', 'Betrayal', 'Black Belly', 'Broken Engagement', 'Calm Protagonist', 'Childcare', 'Cold Love Interests', 'Cold Protagonist', 'Cultivation', 'Cunning Protagonist', 'Cute Children', 'Devoted Love Interests', 'Doting Love Interests', 'Family', 'Famous Protagonist', 'Fast Learner', 'Fated Lovers', 'Female Protagonist', 'Genius Protagonist', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Love Interest Falls in Love First', 'Lucky Protagonist', 'Magical Space', 'Misunderstandings', 'Multiple Realms', 'Music', 'Mysterious Family Background', 'Persistent Love Interests', 'Pets', 'Pill Concocting', 'Possessive Characters', 'Power Couple', 'Pregnancy', 'Prophecies', 'Reincarnation', 'Revenge', 'Ruthless Protagonist', 'Second Chance', 'Shameless Protagonist', 'Smart Couple', 'Strength-based Social Hierarchy', 'Strong Love Interests', 'Unique Cultivation Technique', 'Weak to Strong', 'Wealthy Characters']",15,11,15,16,99,4.1
